Zone	Age	CdK	CdL	d13CMu	d15NMu	d13CT	d15NT	d13CLi	d15NLi
NBB	6,5	3,930	0,864	-17,25	12,33	NA	NA	NA	NA
NBB	5	2,176	0,619	-17,15	12,38	NA	NA	NA	NA
NBB	6,5	1,930	0,879	-17,02	11,90	NA	NA	NA	NA
NBB	16	5,492	2,649	-17,13	11,75	NA	NA	NA	NA
NBB	4,5	0,909	0,390	-17,27	12,60	NA	NA	NA	NA
NBB	4	0,924	0,460	-17,33	12,61	NA	NA	NA	NA
NBB	4	1,547	0,320	-17,43	12,74	NA	NA	NA	NA
NBB	1	1,806	0,580	-17,20	12,74	NA	NA	NA	NA
NBB	4	1,657	0,360	-17,14	12,73	NA	NA	NA	NA
NBB	5	1,616	0,850	-17,19	12,24	NA	NA	NA	NA
NBB	8	3,946	1,170	-16,85	11,28	NA	NA	NA	NA
NBB	4	2,577	0,750	-17,59	12,00	NA	NA	NA	NA
NBB	4	1,280	0,350	-17,43	12,57	NA	NA	NA	NA
NI	16,5	23,850	5,800	-17,54	10,50	NA	NA	NA	NA
NI	17	18,220	6,284	-17,70	10,90	NA	NA	NA	NA
NI	NA	0,002	0,003	-18,26	14,42	NA	NA	NA	NA
NI	14,5	16,330	4,260	-17,10	11,38	NA	NA	NA	NA
NI	17	18,340	3,406	-16,99	11,15	NA	NA	NA	NA
NI	1	4,560	0,479	-16,64	11,34	NA	NA	NA	NA
NI	15,5	12,400	5,032	-17,67	9,60	NA	NA	NA	NA
NI	NA	21,900	4,270	-16,83	11,81	NA	NA	NA	NA
NI	0,25	0,370	NA	-17,73	12,23	NA	NA	NA	NA
NI	16	24,040	4,443	-17,93	11,10	NA	NA	NA	NA
NI	3	0,570	0,131	-16,45	14,95	NA	NA	NA	NA
NI	8,5	1,750	5,326	-16,81	12,63	NA	NA	NA	NA
NI	2	0,510	3,003	-16,90	12,97	NA	NA	NA	NA
NI	16	NA	NA	-17,76	10,18	NA	NA	NA	NA
NI	NA	0,421	NA	-18,20	14,81	NA	NA	NA	NA
NI	NA	NA	NA	-17,43	15,50	NA	NA	NA	NA
NI	NA	7,250	NA	-16,47	12,52	NA	NA	NA	NA
NI	0,5	0,583	NA	-16,55	13,90	NA	NA	NA	NA
NI	22	12,351	NA	-16,75	12,16	NA	NA	NA	NA
NWIP	1	0,512	0,086	-16,95	12,33	-14,53	14,54	-16,83	13,29
NWIP	11	2,130	0,646	-16,80	11,98	-14,45	12,86	-16,58	13,43
NWIP	1,5	0,787	0,148	-16,65	11,52	NA	NA	-16,26	13,53
NWIP	15	3,494	0,383	-16,81	11,01	-13,93	12,97	-16,97	12,61
NWIP	3,5	0,126	0,281	-16,54	11,79	-14,45	13,13	-16,32	12,92
NWIP	10	3,232	0,287	-16,39	11,14	-14,24	13,03	-16,63	12,73
NWIP	3	2,184	0,303	-16,24	12,27	-14,11	13,27	-16,45	13,38
NWIP	16	2,883	0,034	-16,24	11,55	-14,01	12,13	-16,42	12,18
NWIP	1	0,262	0,063	-16,55	12,28	-13,55	14,10	-16,37	13,64
NWIP	3,5	0,778	0,187	-16,25	11,95	-14,01	13,44	-16,12	13,42
NWIP	2,5	2,162	0,370	-16,70	11,82	-14,94	12,10	-15,96	13,56
NWIP	3,25	0,777	0,115	-16,23	11,90	-13,87	13,44	-16,09	13,08
NWIP	2	1,724	0,154	-16,57	11,58	-14,26	13,57	-16,43	12,84
NWIP	16	1,814	0,833	-16,83	11,32	-14,62	12,02	-17,13	11,68
NWIP	1,5	0,642	0,176	-16,57	11,70	-13,80	13,09	-16,30	12,87
NWIP	9	5,787	1,280	-18,09	11,41	-15,06	11,92	-18,23	12,43
NWIP	8	0,634	0,256	-17,18	12,05	-14,46	13,10	-16,91	13,17
NWIP	4	1,552	0,419	-17,21	11,94	-14,54	13,34	-16,86	13,22
NWIP	7	1,872	0,400	-17,03	11,72	-14,51	12,54	-16,77	13,21
NWIP	7	10,774	1,729	-17,48	11,71	NA	NA	-17,32	12,72
NWIP	10	1,554	0,512	-17,33	11,83	-14,74	12,34	-17,47	12,75
NWIP	9	2,642	0,786	-17,23	11,68	NA	NA	-17,23	12,70
NWIP	9	2,008	0,501	-17,22	11,98	-14,70	12,05	-17,37	12,98
NWIP	7,5	1,845	0,514	-17,26	11,67	-14,70	11,44	-17,01	12,71
NWIP	7	1,317	0,305	-17,62	11,72	-14,85	12,67	-17,54	12,97
NWIP	2	1,164	0,246	-17,08	12,00	-14,35	12,91	-16,79	13,01
NWIP	0,5	0,041	0,021	-16,91	12,62	-14,13	13,90	-17,23	13,50
NWIP	6	3,829	1,119	-17,91	11,02	-14,94	12,43	-17,82	12,42
NWIP	20	8,014	2,230	-17,75	10,57	-14,43	11,37	-17,75	12,26
NWIP	3,5	0,870	0,199	-17,14	11,89	-14,45	12,88	-16,73	12,85
NWIP	4,5	0,482	0,205	-16,39	11,62	-14,03	13,55	-16,95	13,25
NWIP	7	0,961	0,277	-17,14	11,94	-14,83	12,90	-16,97	13,25
NWIP	8,5	3,813	0,831	-17,40	11,20	-14,77	12,39	-17,02	12,66
NWIP	8	2,361	0,800	-17,30	11,51	-14,67	12,56	-16,95	13,01
NWIP	3	1,553	0,307	-17,38	11,33	-14,42	13,32	-17,59	12,85
NWIP	15	4,704	1,273	-17,22	11,22	-14,17	12,52	-17,62	12,33
NWIP	18	5,838	1,460	-17,93	10,44	-15,01	12,41	-17,88	12,04
NWIP	9	5,687	1,389	-17,79	11,39	-14,51	12,90	-17,70	12,41
NWIP	2	1,230	0,474	-17,22	11,89	-14,89	12,66	-17,14	13,27
NWIP	6	3,294	0,055	-17,58	11,16	-14,79	12,36	-17,89	11,94
NWIP	7	2,996	1,276	-17,44	11,48	-14,75	12,39	-17,32	12,93
NWIP	16	2,949	0,891	-17,26	11,45	-15,03	12,00	-17,38	12,70
NWIP	8	3,089	0,607	-17,15	11,77	-14,57	12,67	-17,12	13,19
NWIP	15	3,659	0,055	-17,39	11,23	-14,57	12,50	-17,85	11,66
NWIP	15	6,710	NA	-17,55	10,82	-14,74	11,93	NA	NA
NWIP	14	9,424	1,311	-17,92	10,81	-14,83	12,34	-17,92	12,11
NWIP	8	5,260	0,824	-17,25	11,37	-15,13	11,87	-17,39	12,80
NWIP	9	1,308	0,395	-17,19	11,92	-14,78	12,50	-17,06	13,06
NWIP	0	0,030	0,004	-16,57	13,30	-13,86	15,17	-16,45	13,45
NWIP	8	1,225	0,513	-17,15	11,65	-15,03	12,20	-17,08	12,86
NWIP	9	3,231	0,642	-17,70	11,31	-15,12	11,94	-17,72	12,70
NWIP	3	3,208	0,501	-17,52	11,29	-14,62	12,15	-17,62	12,49
NWIP	8	16,360	2,900	-17,83	10,13	-14,32	11,33	-17,85	11,82
NWIP	NA	2,402	0,257	-18,08	10,76	-15,22	12,33	-17,98	12,32
NWIP	18	1,452	1,281	-17,17	11,43	-14,08	12,33	-18,85	12,72
NWIP	3	2,243	0,158	-17,55	11,22	NA	NA	-17,14	12,56
NWIP	3	2,910	0,242	-17,26	10,87	-15,24	11,53	-17,14	12,45
NWIP	16	3,236	0,033	-16,96	11,28	-13,97	12,76	-16,81	12,61
NWIP	3,5	2,808	0,289	-16,80	11,83	-14,33	12,78	-16,89	12,92
NWIP	3,5	1,280	NA	-17,24	11,46	-14,37	12,99	NA	NA
NWIP	NA	1,668	0,547	-17,94	11,33	NA	NA	-18,21	11,29
NWIP	2	0,529	0,101	-16,40	11,87	-13,96	13,46	-16,50	13,09
NWIP	15	1,654	0,413	-16,58	11,87	-14,22	12,44	-16,95	13,06
NWIP	2,5	0,450	0,115	-16,29	11,93	-13,99	13,04	-16,04	13,05
NWIP	0,5	0,707	0,180	-16,19	12,47	-13,71	14,37	-15,59	13,64
NWIP	1	0,306	0,056	-16,74	12,53	-14,81	13,63	-16,14	13,51
NWIP	0	0,002	0,003	NA	NA	-13,89	15,07	-16,93	14,40
NWIP	NA	NA	NA	NA	NA	NA	NA	-16,47	13,26
NWIP	3	0,542	0,176	-16,32	12,00	-13,60	13,03	-16,73	13,17
NWIP	1,5	0,418	0,079	-16,53	11,85	-13,80	13,21	-16,90	12,91
NWIP	4	2,029	0,516	-16,60	11,93	-14,01	13,03	NA	NA
NWIP	1	NA	NA	NA	NA	NA	NA	NA	NA
NWIP	1	0,585	0,064	-16,49	11,88	-13,73	13,82	-16,42	12,95
NWIP	3,5	NA	NA	-16,30	13,63	-14,28	13,33	NA	NA
NWIP	5	0,344	0,168	-16,75	12,10	-14,18	13,05	-16,94	12,57
NWIP	1,5	0,286	0,062	-16,82	11,90	-13,95	13,39	-17,20	12,85
NWIP	3	1,114	0,365	-17,46	11,04	-15,02	12,44	-17,20	12,49
NWIP	0,5	5,908	1,553	-17,14	11,01	-14,42	13,60	-17,20	12,63
NWIP	10	NA	NA	NA	NA	-13,94	12,73	NA	NA
NWIP	NA	NA	0,031	-16,80	12,27	NA	NA	-17,10	13,21
NWIP	0,5	0,204	0,035	-17,41	12,26	-13,95	13,77	-17,37	13,38
NWIP	2,5	0,450	0,177	-16,55	12,09	-14,24	13,51	-16,50	13,36
NWIP	16	3,446	0,495	-16,96	11,70	-13,51	13,38	-16,51	13,22
NWIP	9	1,636	0,494	-16,81	11,82	-14,21	13,16	-16,84	12,95
NWIP	2,5	0,500	0,112	-16,63	11,42	-14,03	12,98	-16,75	12,38
NWIP	14	3,677	0,719	-17,83	11,51	-14,77	11,66	-18,79	13,06
NWIP	5	0,619	0,119	-17,16	11,82	-13,96	12,96	-17,08	12,94
NWIP	2	0,806	0,089	-16,52	11,96	-14,11	13,39	-16,70	13,04
NWIP	0	10,488	0,043	-17,74	11,09	-13,89	14,20	-16,58	13,67
NWIP	0,5	0,111	0,023	-16,46	13,16	-14,01	14,31	-16,50	14,07
NWIP	3	0,609	0,068	-16,45	11,44	-14,19	12,83	-16,67	12,83
NWIP	4	0,462	0,189	-16,64	11,59	-14,22	12,90	-16,32	13,64
NWIP	2	NA	NA	NA	NA	-14,35	13,18	NA	NA
NWIP	0	1,044	0,175	-17,96	10,79	-15,60	12,16	-17,60	12,04
NWIP	2	0,341	0,084	-16,03	11,95	-14,22	13,35	-16,22	13,12
NWIP	1	0,135	0,022	-16,08	12,78	NA	NA	-16,25	13,56
NWIP	NA	0,718	0,113	-16,70	10,19	-13,94	14,13	-15,62	14,22
NWIP	13	1,537	0,219	-16,26	11,82	-13,64	13,22	-16,88	13,77
NWIP	15	0,838	0,168	-16,69	11,54	-13,39	12,59	-16,43	13,49
NWIP	0,5	0,381	0,038	-16,20	13,02	-13,65	14,39	-16,02	14,09
NWIP	2	0,368	0,039	-16,68	12,11	-14,31	13,30	-16,95	13,29
NWIP	3	10,036	0,796	-18,10	10,64	-15,20	11,92	-18,27	12,15
NWIP	16	2,571	0,204	-16,76	11,84	NA	NA	-17,38	13,30
NWIP	4	0,710	0,089	-17,02	12,12	-13,63	13,96	-17,41	13,14
NWIP	NA	0,138	0,087	-16,74	11,97	-14,40	13,67	-16,81	13,21
NWIP	NA	1,867	0,263	-17,39	11,41	-14,76	12,92	-16,75	12,73
NWIP	NA	0,476	0,068	-16,36	12,26	-13,90	13,99	-17,10	13,45
NWIP	12	1,900	0,280	-17,24	11,42	-13,70	13,09	-17,61	13,13
NWIP	1	NA	0,072	-17,36	11,89	-13,59	13,69	-17,68	13,22
NWIP	7	NA	0,310	NA	NA	NA	NA	NA	NA
NWIP	1	0,260	0,110	NA	NA	NA	NA	NA	NA
NWIP	14	NA	0,710	NA	NA	NA	NA	NA	NA
NWIP	3	0,490	0,200	NA	NA	NA	NA	NA	NA
NWIP	2	0,380	0,150	NA	NA	NA	NA	NA	NA
NWIP	3	2,930	0,510	NA	NA	NA	NA	NA	NA
NWIP	10	2,610	NA	NA	NA	NA	NA	NA	NA
NWIP	4	0,590	0,130	NA	NA	NA	NA	NA	NA
NWIP	2	0,390	0,180	NA	NA	NA	NA	NA	NA
NWIP	8	0,790	0,280	NA	NA	NA	NA	NA	NA
NWIP	9	2,210	0,590	NA	NA	NA	NA	NA	NA
NWIP	17	1,860	0,210	NA	NA	NA	NA	NA	NA
NWIP	2	0,500	0,170	NA	NA	NA	NA	NA	NA
NWIP	4	0,480	0,220	NA	NA	NA	NA	NA	NA
NWIP	5	3,890	1,830	NA	NA	NA	NA	NA	NA
NWIP	8	1,030	0,270	NA	NA	NA	NA	NA	NA
NWIP	0	NA	0,140	NA	NA	NA	NA	NA	NA
NWIP	1	0,070	NA	NA	NA	NA	NA	NA	NA
NWIP	21	2,450	0,430	NA	NA	NA	NA	NA	NA
NWIP	3	1,710	0,310	NA	NA	NA	NA	NA	NA
NWIP	4	0,540	0,190	NA	NA	NA	NA	NA	NA
NWIP	2	0,500	0,110	NA	NA	NA	NA	NA	NA
NWIP	9	1,370	NA	NA	NA	NA	NA	NA	NA
NWIP	6	1,320	NA	NA	NA	NA	NA	NA	NA
NWIP	1	0,610	0,100	NA	NA	NA	NA	NA	NA
NWIP	2	NA	0,200	NA	NA	NA	NA	NA	NA
NWIP	2	0,660	0,100	NA	NA	NA	NA	NA	NA
NWIP	4	2,140	0,430	NA	NA	NA	NA	NA	NA
NWIP	4	1,890	0,240	NA	NA	NA	NA	NA	NA
NWIP	2	0,790	0,120	NA	NA	NA	NA	NA	NA
NWIP	9	2,160	NA	NA	NA	NA	NA	NA	NA
OBB	0,1	8,510	3,970	-18,20	10,20	NA	NA	NA	NA
OBB	6,6	28,750	16,219	-19,09	10,09	NA	NA	NA	NA
OBB	15	38,803	6,048	-18,05	9,99	NA	NA	NA	NA
OBB	2	0,602	0,123	-18,48	10,84	NA	NA	NA	NA
OBB	15	36,477	6,330	-19,07	10,23	NA	NA	NA	NA
OBB	1	19,423	5,224	-18,38	10,54	NA	NA	NA	NA
OBB	3,5	13,810	2,019	-18,10	9,80	NA	NA	NA	NA
OBB	2,8	8,050	1,341	NA	NA	NA	NA	NA	NA
OBB	2,4	3,910	0,837	-18,97	10,21	NA	NA	NA	NA
OI	0	NA	0,040	NA	NA	NA	NA	NA	NA
OI	0	0,049	0,007	-17,40	10,48	NA	NA	NA	NA
OI	10	16,539	2,768	-18,32	9,93	NA	NA	NA	NA
OI	0	NA	0,009	NA	NA	NA	NA	NA	NA
OI	0	0,045	0,005	-17,77	12,45	NA	NA	NA	NA
OI	0	0,079	0,047	-18,06	10,43	NA	NA	NA	NA
OI	3,5	5,661	1,362	NA	NA	NA	NA	NA	NA
OI	6	0,012	6,010	NA	NA	NA	NA	NA	NA
OI	4	8,232	1,931	-17,77	10,13	NA	NA	NA	NA
OI	15	22,671	4,448	-17,63	9,79	NA	NA	NA	NA
OI	NA	6,871	NA	-17,65	9,99	NA	NA	NA	NA
OI	25	23,545	3,307	-17,50	10,72	NA	NA	NA	NA
